"ausfall";"laufzeit";"moral";"hoehe";"rate";"beszeit";"alter";"famges"
0;12;"keine";3077;2;3;52;"m_verheiratet"
0;24;"keine";2284;4;4;28;"m_verheiratet"
0;12;"keine";1567;1;3;22;"w_verheirat"
0;24;"bestehend";2032;4;5;60;"m_verheiratet"
0;21;"einwandfrei";2745;3;4;32;"m_verheiratet"
0;30;"keine";1867;4;5;58;"m_verheiratet"
0;36;"keine";2299;4;5;39;"m_verheiratet"
0;24;"keine";929;4;4;31;"m_verheiratet"
0;12;"keine";3399;2;5;37;"m_verheiratet"
0;9;"keine";2030;2;4;24;"m_verheiratet"
0;21;"einwandfrei";3275;1;5;36;"m_verheiratet"
0;24;"einwandfrei";1940;4;5;60;"m_verheiratet"
0;21;"einwandfrei";1602;4;5;30;"w_ledig"
0;15;"keine";1979;4;5;35;"m_verheiratet"
0;24;"einwandfrei";2022;4;3;37;"m_ledig"
0;36;"einwandfrei";3342;4;5;51;"m_verheiratet"
0;18;"keine";5866;2;3;30;"m_verheiratet"
0;15;"einwandfrei";2360;2;3;36;"m_verheiratet"
0;15;"einwandfrei";1520;4;5;63;"m_verheiratet"
0;12;"keine";3651;1;3;31;"m_verheiratet"
0;24;"einwandfrei";2346;4;4;35;"m_verheiratet"
0;36;"bestehend";4454;4;3;34;"m_ledig"
0;6;"einwandfrei";666;3;4;39;"m_ledig"
0;24;"bestehend";1965;4;3;42;"w_verheirat"
0;12;"einwandfrei";1995;4;2;27;"m_verheiratet"
0;30;"keine";2991;2;5;25;"m_ledig"
0;30;"verzögert";4221;2;3;28;"w_verheirat"
0;9;"keine";1364;3;4;59;"m_verheiratet"
0;18;"einwandfrei";6361;2;5;41;"m_verheiratet"
0;27;"einwandfrei";4526;4;2;32;"m_verheiratet"
0;12;"einwandfrei";3573;1;3;23;"m_ledig"
1;36;"bestehend";4455;2;3;30;"m_geschieden"
0;9;"keine";2136;3;3;25;"m_verheiratet"
0;42;"einwandfrei";5954;2;4;41;"w_verheirat"
0;24;"einwandfrei";3777;4;3;40;"m_verheiratet"
0;15;"keine";806;4;3;22;"m_ledig"
0;24;"bestehend";4712;4;3;34;"m_verheiratet"
0;36;"bestehend";7432;2;3;54;"m_ledig"
0;24;"einwandfrei";1851;4;4;33;"w_ledig"
0;24;"keine";1393;2;3;31;"m_verheiratet"
0;12;"einwandfrei";1412;4;3;29;"m_ledig"
0;18;"keine";1473;3;2;39;"w_ledig"
0;24;"keine";1533;4;2;38;"w_verheirat"
0;12;"einwandfrei";2012;4;4;61;"m_ledig"
1;15;"keine";3959;3;3;29;"m_ledig"
0;6;"keine";428;2;5;49;"m_ledig"
0;12;"einwandfrei";2366;3;4;36;"m_geschieden"
0;12;"keine";763;4;3;26;"w_verheirat"
0;21;"keine";3976;2;4;35;"m_verheiratet"
0;18;"keine";6260;3;4;28;"m_verheiratet"
0;9;"einwandfrei";1919;4;4;35;"m_verheiratet"
0;24;"keine";2603;2;3;28;"w_verheirat"
0;9;"einwandfrei";936;4;5;52;"m_verheiratet"
0;24;"keine";3062;4;5;32;"m_verheiratet"
0;36;"keine";4795;4;2;30;"m_ledig"
0;36;"einwandfrei";5842;2;5;35;"m_verheiratet"
0;6;"keine";2063;4;2;30;"w_ledig"
0;15;"einwandfrei";1459;4;3;43;"m_ledig"
0;15;"keine";1213;4;5;47;"m_verheiratet"
0;24;"einwandfrei";5103;3;2;47;"w_ledig"
0;15;"keine";874;4;2;24;"m_ledig"
0;6;"keine";2978;1;3;32;"m_verheiratet"
0;18;"keine";1820;2;3;30;"w_ledig"
0;24;"einwandfrei";2872;3;5;36;"m_verheiratet"
0;24;"keine";1925;2;3;26;"m_verheiratet"
0;18;"keine";2515;3;3;43;"m_verheiratet"
0;6;"keine";2116;2;3;41;"m_verheiratet"
0;18;"keine";1453;3;2;26;"m_ledig"
0;10;"keine";1364;2;3;64;"m_ledig"
0;6;"keine";1543;4;3;33;"m_geschieden"
0;12;"keine";1318;4;5;54;"m_verheiratet"
0;24;"kritisch";2325;2;4;32;"m_verheiratet"
0;6;"einwandfrei";932;1;4;39;"m_ledig"
0;24;"einwandfrei";3148;3;3;31;"m_verheiratet"
0;36;"keine";3835;2;5;45;"m_ledig"
0;9;"keine";3832;1;5;64;"m_verheiratet"
0;24;"keine";5084;2;5;42;"m_ledig"
0;9;"einwandfrei";2406;2;1;31;"m_verheiratet"
0;36;"keine";2394;4;3;25;"w_verheirat"
0;21;"keine";2476;4;5;46;"m_verheiratet"
0;24;"keine";2964;4;5;49;"m_verheiratet"
0;12;"keine";1262;2;5;49;"m_geschieden"
0;12;"keine";1542;2;4;36;"m_verheiratet"
0;24;"einwandfrei";1743;4;5;48;"m_verheiratet"
0;12;"kritisch";409;3;3;42;"m_ledig"
0;12;"keine";2171;2;2;29;"m_ledig"
0;48;"einwandfrei";8858;2;4;35;"m_verheiratet"
0;24;"keine";3512;2;4;38;"m_verheiratet"
0;12;"keine";1158;3;3;26;"m_geschieden"
0;24;"einwandfrei";2684;4;3;35;"m_verheiratet"
0;12;"keine";1498;4;3;23;"m_ledig"
0;30;"einwandfrei";5954;3;4;38;"m_verheiratet"
1;48;"kritisch";6416;4;5;59;"m_ledig"
0;12;"einwandfrei";3617;1;5;28;"m_verheiratet"
0;12;"einwandfrei";1291;4;3;35;"m_ledig"
0;24;"einwandfrei";1275;2;3;36;"m_geschieden"
0;24;"keine";3972;2;4;25;"m_ledig"
0;15;"einwandfrei";3343;4;3;28;"m_verheiratet"
0;15;"keine";392;4;2;23;"m_ledig"
0;9;"einwandfrei";2134;4;3;48;"m_verheiratet"
0;30;"einwandfrei";5771;4;4;25;"m_ledig"
0;24;"einwandfrei";4526;3;3;74;"m_verheiratet"
0;15;"einwandfrei";2788;2;4;24;"m_ledig"
0;6;"einwandfrei";1382;1;3;28;"m_ledig"
0;36;"keine";5848;4;3;24;"m_verheiratet"
1;12;"keine";1228;4;3;24;"m_ledig"
0;12;"keine";1297;3;3;23;"w_ledig"
0;24;"keine";1552;3;4;32;"m_verheiratet"
0;12;"keine";1963;4;4;31;"m_verheiratet"
0;24;"keine";3235;3;5;36;"m_geschieden"
0;24;"einwandfrei";4139;3;3;27;"m_verheiratet"
0;12;"einwandfrei";1804;3;2;44;"m_verheiratet"
0;18;"keine";1950;4;4;34;"m_verheiratet"
0;48;"bestehend";12749;4;4;37;"m_verheiratet"
0;9;"keine";1236;1;2;23;"w_verheirat"
0;18;"einwandfrei";1055;4;2;30;"w_verheirat"
0;30;"verzögert";8072;2;2;25;"m_verheiratet"
0;30;"einwandfrei";2831;4;3;33;"w_verheirat"
0;9;"keine";1449;3;4;27;"m_ledig"
0;36;"keine";5742;2;4;31;"m_verheiratet"
0;12;"keine";2390;4;5;50;"m_verheiratet"
0;24;"keine";3430;3;5;31;"m_verheiratet"
0;36;"keine";2273;3;4;32;"m_verheiratet"
0;21;"keine";2923;1;3;28;"m_ledig"
0;24;"keine";1901;4;3;29;"m_verheiratet"
0;36;"keine";3711;2;3;27;"w_ledig"
0;48;"keine";8487;1;4;24;"m_ledig"
0;24;"keine";2255;4;2;54;"m_verheiratet"
0;12;"keine";1262;3;3;25;"m_verheiratet"
0;33;"einwandfrei";7253;3;4;35;"m_verheiratet"
0;6;"einwandfrei";6761;1;4;45;"m_verheiratet"
0;18;"einwandfrei";1817;4;3;28;"m_ledig"
0;12;"keine";2141;3;4;35;"m_verheiratet"
0;48;"kritisch";3609;1;3;27;"m_ledig"
0;30;"keine";2333;4;5;30;"m_verheiratet"
0;28;"kritisch";7824;3;2;40;"m_verheiratet"
0;18;"kritisch";1445;4;4;49;"m_verheiratet"
0;24;"keine";7721;1;2;30;"w_verheirat"
0;21;"keine";3763;2;4;24;"m_verheiratet"
0;18;"keine";4439;1;5;33;"m_verheiratet"
0;12;"keine";1107;2;3;20;"m_verheiratet"
0;15;"keine";1444;4;2;23;"m_verheiratet"
0;48;"kritisch";12169;4;1;36;"m_verheiratet"
0;9;"keine";2753;3;5;35;"m_verheiratet"
0;4;"keine";1494;1;2;29;"m_verheiratet"
0;24;"kritisch";2828;4;3;22;"m_verheiratet"
0;24;"kritisch";2483;4;3;22;"m_verheiratet"
0;6;"einwandfrei";1299;1;3;74;"m_verheiratet"
0;9;"keine";1549;4;2;35;"m_verheiratet"
0;10;"keine";3949;1;2;37;"m_verheiratet"
0;10;"keine";2901;1;2;31;"m_ledig"
0;6;"keine";709;2;2;27;"w_ledig"
0;47;"keine";10722;1;2;35;"w_verheirat"
0;10;"keine";1287;4;5;45;"m_verheiratet"
0;18;"kritisch";1940;3;2;36;"m_verheiratet"
0;30;"einwandfrei";3656;4;5;49;"m_verheiratet"
0;24;"bestehend";4679;3;4;35;"m_verheiratet"
0;27;"bestehend";8613;2;3;27;"m_verheiratet"
0;18;"keine";2659;4;3;28;"m_verheiratet"
0;24;"einwandfrei";1516;4;3;43;"m_ledig"
0;18;"keine";4380;3;3;35;"m_verheiratet"
0;14;"bestehend";802;4;3;27;"m_verheiratet"
0;21;"keine";1572;4;5;36;"m_ledig"
0;48;"kritisch";3566;4;4;30;"m_verheiratet"
0;24;"keine";1278;4;5;36;"m_verheiratet"
0;6;"verzögert";426;4;5;39;"w_ledig"
0;39;"keine";8588;4;5;45;"m_verheiratet"
0;30;"keine";3857;4;3;40;"m_geschieden"
1;12;"keine";685;2;4;25;"w_ledig"
0;24;"keine";1603;4;5;55;"m_ledig"
0;21;"keine";2241;4;5;50;"m_verheiratet"
0;24;"keine";2384;4;5;64;"m_verheiratet"
0;4;"keine";601;1;2;23;"m_ledig"
0;39;"keine";2569;4;3;24;"m_verheiratet"
0;15;"einwandfrei";1316;2;3;47;"w_ledig"
0;60;"keine";10366;2;5;42;"m_verheiratet"
0;18;"keine";1568;3;3;24;"w_verheirat"
0;18;"einwandfrei";629;4;5;32;"m_verheiratet"
0;6;"kritisch";1750;2;5;45;"m_verheiratet"
0;24;"keine";3488;3;4;23;"m_ledig"
0;18;"einwandfrei";1800;4;3;24;"m_verheiratet"
0;24;"bestehend";4151;2;3;35;"m_verheiratet"
0;15;"keine";2631;3;3;25;"w_verheirat"
0;21;"keine";5248;1;3;26;"m_verheiratet"
0;18;"bestehend";2899;4;5;43;"m_verheiratet"
0;18;"bestehend";6204;2;3;44;"m_verheiratet"
0;12;"keine";804;4;5;38;"m_verheiratet"
0;36;"keine";3595;4;5;28;"m_verheiratet"
0;36;"einwandfrei";5711;4;5;38;"m_verheiratet"
0;15;"keine";2687;2;4;26;"m_verheiratet"
0;15;"bestehend";3643;1;5;27;"w_verheirat"
0;10;"einwandfrei";2146;1;2;23;"m_ledig"
0;10;"keine";2315;3;5;52;"m_verheiratet"
0;5;"keine";3448;1;4;74;"m_verheiratet"
0;15;"keine";2708;2;2;27;"m_verheiratet"
0;11;"einwandfrei";1393;4;2;35;"w_verheirat"
0;10;"keine";1275;4;2;23;"m_ledig"
0;9;"keine";1313;1;5;20;"m_verheiratet"
0;12;"keine";1493;4;2;34;"m_ledig"
0;22;"keine";2675;3;5;40;"m_verheiratet"
0;9;"keine";2118;2;3;37;"m_verheiratet"
0;36;"keine";909;4;5;36;"m_verheiratet"
0;12;"einwandfrei";1258;2;2;22;"w_verheirat"
0;15;"kritisch";1569;4;5;34;"m_verheiratet"
0;6;"keine";1236;2;3;50;"m_verheiratet"
0;36;"bestehend";7678;2;4;40;"m_ledig"
0;6;"keine";660;2;4;23;"w_ledig"
0;24;"keine";2835;3;5;53;"m_verheiratet"
0;24;"keine";2670;4;5;35;"m_verheiratet"
0;12;"kritisch";3447;4;3;35;"m_ledig"
0;15;"keine";3568;4;5;54;"m_ledig"
0;21;"einwandfrei";3652;2;4;27;"m_verheiratet"
0;24;"keine";3660;2;3;28;"m_ledig"
0;9;"keine";1126;2;5;49;"m_geschieden"
0;6;"bestehend";683;2;2;29;"m_ledig"
0;12;"keine";2251;1;3;46;"m_ledig"
0;12;"keine";4675;1;2;20;"m_ledig"
0;21;"bestehend";2353;1;3;47;"m_geschieden"
0;21;"keine";3357;4;2;29;"m_ledig"
0;6;"keine";672;1;1;54;"m_ledig"
0;6;"einwandfrei";338;4;5;52;"m_verheiratet"
0;9;"keine";2697;1;3;32;"m_verheiratet"
0;9;"keine";2507;2;5;51;"m_verheiratet"
0;15;"bestehend";1478;4;3;33;"w_ledig"
0;12;"einwandfrei";3565;2;2;37;"m_verheiratet"
0;15;"keine";2221;2;3;20;"m_ledig"
0;6;"einwandfrei";1898;1;3;34;"m_verheiratet"
0;6;"bestehend";1449;1;5;31;"m_geschieden"
0;15;"bestehend";960;3;4;30;"m_ledig"
0;36;"keine";8133;1;3;30;"w_verheirat"
0;9;"keine";2301;2;2;22;"w_verheirat"
0;6;"bestehend";1743;1;3;34;"m_verheiratet"
0;12;"keine";983;1;2;19;"m_ledig"
0;18;"bestehend";2320;2;1;34;"w_ledig"
0;12;"kritisch";339;4;5;45;"w_ledig"
0;24;"keine";5152;4;4;25;"m_verheiratet"
0;24;"keine";3749;2;2;26;"m_ledig"
0;9;"einwandfrei";3074;1;3;33;"m_verheiratet"
1;9;"keine";745;3;3;28;"m_ledig"
0;24;"keine";1469;4;5;41;"w_ledig"
0;6;"keine";1374;1;3;36;"m_verheiratet"
0;6;"kritisch";783;1;3;26;"m_verheiratet"
0;21;"keine";2606;4;2;28;"w_verheirat"
0;54;"verzögert";9436;2;3;39;"m_verheiratet"
0;12;"einwandfrei";930;4;5;65;"m_verheiratet"
0;48;"einwandfrei";2751;4;5;38;"m_verheiratet"
0;6;"einwandfrei";250;2;3;41;"w_verheirat"
0;24;"keine";1201;4;2;26;"m_verheiratet"
0;6;"keine";662;3;2;41;"m_verheiratet"
0;15;"keine";1300;4;5;45;"m_verheiratet"
0;24;"kritisch";1559;4;4;40;"m_verheiratet"
0;12;"keine";3016;3;3;24;"w_ledig"
0;15;"einwandfrei";1360;4;3;31;"m_verheiratet"
0;6;"verzögert";1204;4;3;35;"m_verheiratet"
0;10;"keine";1597;3;3;40;"m_verheiratet"
0;12;"keine";2073;4;3;28;"m_ledig"
0;11;"keine";2142;1;5;28;"m_geschieden"
0;10;"einwandfrei";2132;2;2;27;"m_ledig"
0;10;"keine";1546;3;3;31;"m_verheiratet"
0;24;"einwandfrei";1287;4;5;37;"w_verheirat"
0;10;"keine";1418;3;3;35;"m_verheiratet"
0;6;"einwandfrei";1343;1;5;46;"m_verheiratet"
0;18;"keine";2662;4;4;32;"m_verheiratet"
0;18;"einwandfrei";6070;3;5;33;"m_verheiratet"
0;24;"einwandfrei";1927;3;3;33;"m_ledig"
0;18;"einwandfrei";2404;2;3;26;"w_verheirat"
0;6;"einwandfrei";1554;1;4;24;"m_ledig"
0;22;"keine";1283;4;4;25;"m_ledig"
0;24;"bestehend";717;4;5;54;"w_ledig"
0;24;"keine";1747;4;2;24;"m_verheiratet"
0;9;"einwandfrei";1288;3;5;48;"m_verheiratet"
0;10;"einwandfrei";1038;4;4;49;"m_verheiratet"
0;10;"keine";2848;1;3;32;"m_verheiratet"
0;12;"keine";1413;3;4;55;"m_verheiratet"
0;30;"einwandfrei";3077;3;5;40;"m_verheiratet"
0;24;"kritisch";3632;1;3;22;"m_ledig"
0;18;"einwandfrei";3229;2;1;38;"m_verheiratet"
0;9;"keine";3577;1;3;26;"m_verheiratet"
0;12;"einwandfrei";682;4;4;51;"m_ledig"
0;10;"keine";1924;1;3;38;"m_verheiratet"
0;10;"keine";727;4;5;46;"m_verheiratet"
0;10;"einwandfrei";781;4;5;63;"m_verheiratet"
0;12;"einwandfrei";2121;4;3;30;"m_verheiratet"
0;12;"einwandfrei";701;4;3;32;"m_verheiratet"
0;10;"einwandfrei";2069;2;3;26;"w_ledig"
0;24;"keine";1525;4;4;34;"m_ledig"
0;48;"einwandfrei";7629;4;5;46;"m_geschieden"
1;12;"einwandfrei";3499;3;3;29;"m_ledig"
0;6;"keine";1346;2;5;42;"m_verheiratet"
0;36;"einwandfrei";10477;2;5;42;"m_verheiratet"
0;24;"keine";2924;3;3;63;"m_verheiratet"
0;10;"einwandfrei";1231;3;5;32;"m_verheiratet"
0;18;"keine";1961;3;5;23;"m_ledig"
0;15;"einwandfrei";5045;1;5;59;"m_ledig"
0;12;"einwandfrei";1255;4;5;61;"m_verheiratet"
0;12;"keine";1858;4;2;22;"m_ledig"
0;6;"einwandfrei";1221;1;3;27;"w_ledig"
0;9;"keine";1388;4;3;26;"m_ledig"
0;12;"keine";2279;4;3;37;"m_verheiratet"
0;12;"verzögert";2759;2;5;34;"m_verheiratet"
0;24;"keine";1258;3;3;57;"m_ledig"
0;12;"verzögert";1410;2;3;31;"m_verheiratet"
0;15;"keine";1403;2;3;28;"m_ledig"
0;24;"keine";3021;2;3;24;"m_geschieden"
0;24;"keine";6568;2;3;21;"w_ledig"
0;24;"einwandfrei";2578;2;5;34;"m_verheiratet"
0;24;"einwandfrei";7758;2;5;29;"m_ledig"
0;6;"keine";343;4;2;27;"m_ledig"
0;21;"bestehend";1591;4;4;34;"m_verheiratet"
0;27;"keine";3416;3;3;27;"m_verheiratet"
1;12;"verzögert";1108;4;4;28;"m_verheiratet"
0;27;"bestehend";5965;1;5;30;"m_verheiratet"
0;15;"keine";1514;4;3;22;"m_verheiratet"
0;30;"einwandfrei";6742;2;4;36;"m_verheiratet"
0;18;"keine";3650;1;2;22;"m_ledig"
0;21;"keine";3599;1;4;26;"w_verheirat"
0;60;"einwandfrei";13756;2;5;63;"m_verheiratet"
0;9;"keine";276;4;3;22;"w_ledig"
0;42;"einwandfrei";4041;4;3;36;"m_verheiratet"
0;9;"keine";458;4;3;24;"m_verheiratet"
1;9;"keine";918;4;3;30;"w_verheirat"
0;24;"keine";7393;1;3;43;"m_verheiratet"
0;10;"keine";1225;2;3;37;"m_verheiratet"
0;24;"keine";2812;2;5;26;"m_ledig"
0;15;"keine";3029;2;4;33;"m_verheiratet"
0;12;"einwandfrei";1480;2;1;66;"m_verheiratet"
0;6;"einwandfrei";1047;2;3;50;"w_verheirat"
0;15;"einwandfrei";1471;4;3;35;"m_verheiratet"
0;24;"keine";5511;4;3;25;"m_verheiratet"
0;9;"keine";1206;4;5;25;"w_verheirat"
0;24;"bestehend";6403;1;2;33;"m_verheiratet"
0;12;"keine";707;4;3;30;"m_verheiratet"
0;12;"bestehend";1503;4;3;41;"w_ledig"
0;12;"keine";6078;2;4;32;"m_verheiratet"
0;27;"keine";2528;4;2;32;"m_ledig"
0;12;"keine";1037;3;4;39;"m_verheiratet"
0;6;"keine";1352;1;1;23;"w_verheirat"
0;24;"keine";3181;4;2;26;"m_ledig"
0;18;"keine";4594;3;2;32;"m_verheiratet"
0;48;"keine";5381;3;1;40;"m_verheiratet"
0;15;"keine";4657;3;3;30;"m_verheiratet"
0;9;"keine";1391;2;3;27;"w_ledig"
0;18;"keine";1913;3;2;36;"w_ledig"
0;42;"keine";7166;2;4;29;"w_ledig"
0;13;"keine";1409;2;1;64;"m_ledig"
0;24;"bestehend";2978;4;3;32;"m_verheiratet"
0;12;"einwandfrei";976;4;5;35;"m_verheiratet"
0;24;"bestehend";2375;4;3;44;"m_verheiratet"
0;12;"einwandfrei";522;4;5;42;"m_verheiratet"
0;28;"einwandfrei";2743;4;5;29;"m_verheiratet"
0;11;"einwandfrei";1154;4;1;57;"m_ledig"
0;24;"einwandfrei";5804;4;3;27;"m_verheiratet"
0;18;"einwandfrei";1169;4;3;29;"m_verheiratet"
0;15;"einwandfrei";1478;4;5;44;"m_verheiratet"
0;12;"keine";776;4;3;28;"w_ledig"
0;11;"einwandfrei";1322;4;3;40;"m_ledig"
0;16;"einwandfrei";1175;2;1;68;"m_verheiratet"
0;12;"keine";2133;4;5;52;"m_ledig"
0;15;"einwandfrei";1829;4;5;46;"m_verheiratet"
0;12;"einwandfrei";717;4;5;52;"m_verheiratet"
0;39;"bestehend";11760;2;4;32;"m_verheiratet"
1;9;"einwandfrei";1501;2;5;34;"m_ledig"
0;12;"keine";1200;4;3;23;"m_ledig"
0;9;"keine";3195;1;3;33;"m_ledig"
0;30;"einwandfrei";4530;4;4;26;"m_ledig"
1;12;"bestehend";1555;4;5;55;"m_verheiratet"
0;15;"einwandfrei";2326;2;3;27;"m_verheiratet"
0;18;"einwandfrei";1887;4;3;28;"w_ledig"
0;12;"einwandfrei";1264;4;5;57;"m_verheiratet"
0;7;"bestehend";846;3;5;36;"m_verheiratet"
0;15;"einwandfrei";1532;4;3;31;"m_ledig"
0;6;"bestehend";935;3;3;24;"m_ledig"
0;27;"einwandfrei";2442;4;5;43;"m_verheiratet"
0;18;"einwandfrei";3590;3;1;40;"w_ledig"
0;21;"einwandfrei";2288;4;2;23;"m_ledig"
0;27;"bestehend";5117;3;4;26;"m_verheiratet"
0;39;"einwandfrei";14179;4;4;30;"m_verheiratet"
0;15;"keine";1386;4;3;40;"w_ledig"
0;12;"einwandfrei";618;4;5;56;"m_verheiratet"
0;12;"keine";1574;4;3;50;"m_verheiratet"
0;6;"einwandfrei";700;4;5;36;"m_verheiratet"
0;12;"keine";886;4;3;21;"w_verheirat"
0;36;"keine";4686;2;3;32;"m_verheiratet"
0;9;"keine";790;4;3;66;"m_ledig"
1;12;"keine";766;4;3;66;"m_verheiratet"
0;20;"keine";2212;4;4;39;"m_verheiratet"
0;10;"keine";7308;2;1;70;"m_verheiratet"
0;24;"einwandfrei";5743;2;2;24;"m_ledig"
0;14;"keine";3973;1;1;22;"m_verheiratet"
0;60;"bestehend";7418;1;3;27;"m_verheiratet"
0;20;"bestehend";2629;2;3;29;"m_verheiratet"
0;18;"keine";1941;4;3;35;"m_verheiratet"
0;24;"bestehend";2333;4;2;29;"m_verheiratet"
0;12;"keine";2445;2;2;26;"w_ledig"
0;20;"keine";6468;1;1;60;"m_geschieden"
0;18;"einwandfrei";7374;4;1;40;"m_verheiratet"
0;15;"keine";3812;1;2;23;"m_ledig"
1;28;"keine";4006;3;3;45;"m_verheiratet"
0;12;"keine";7472;1;1;24;"m_ledig"
0;12;"keine";1424;3;5;55;"w_verheirat"
0;12;"keine";2028;4;3;30;"m_verheiratet"
0;15;"keine";5324;1;5;35;"w_verheirat"
0;36;"keine";2323;4;4;24;"m_verheiratet"
0;12;"keine";1393;4;5;47;"m_verheiratet"
0;18;"keine";1984;4;3;47;"m_verheiratet"
0;24;"keine";999;4;5;25;"m_verheiratet"
0;36;"keine";7409;3;5;37;"m_verheiratet"
0;15;"keine";2186;1;4;33;"m_ledig"
0;36;"keine";4473;4;5;31;"m_verheiratet"
0;24;"keine";937;4;2;27;"w_ledig"
0;18;"keine";3422;4;5;47;"m_verheiratet"
0;24;"keine";3105;4;2;25;"m_verheiratet"
0;12;"einwandfrei";2748;2;5;57;"m_ledig"
0;18;"keine";3872;2;1;67;"m_ledig"
0;27;"keine";5190;4;5;48;"m_verheiratet"
0;18;"keine";3001;2;4;40;"m_ledig"
0;24;"bestehend";3863;1;3;32;"m_verheiratet"
0;12;"einwandfrei";5801;2;5;49;"m_verheiratet"
0;12;"einwandfrei";1592;3;4;35;"w_verheirat"
0;12;"einwandfrei";1185;3;3;27;"w_verheirat"
0;18;"einwandfrei";3780;3;2;35;"m_geschieden"
0;18;"einwandfrei";3612;3;5;37;"m_ledig"
0;12;"keine";1076;2;3;26;"w_ledig"
0;12;"keine";3527;2;2;45;"m_verheiratet"
0;18;"keine";2051;4;2;33;"m_verheiratet"
0;12;"einwandfrei";3331;2;5;42;"m_verheiratet"
0;18;"verzögert";3104;3;4;31;"m_verheiratet"
0;24;"einwandfrei";2611;4;5;46;"w_ledig"
0;12;"einwandfrei";1409;4;5;54;"m_verheiratet"
0;24;"keine";1311;4;4;26;"w_ledig"
0;6;"keine";2108;2;4;29;"w_ledig"
0;24;"einwandfrei";4042;3;4;43;"m_verheiratet"
0;12;"einwandfrei";926;1;1;38;"w_verheirat"
0;12;"keine";1680;3;5;35;"w_ledig"
