"ausfall";"betrag";"zins";"bonitaet";"alter";"wohnen";"arbeit";"einkommen"
"nein";12000;14,65;"C";28;"Miete";18;90
"nein";11000;13,49;"C";26;"Grundschuld";23;48
"nein";10000;14,27;"C";29;"Miete";2;68
"nein";11800;12,69;"B";23;"Miete";6;42
"nein";4500;6,03;"A";40;"Miete";4;53
"nein";7000;12,69;"B";24;"Miete";12;35
"nein";9200;12,42;"B";27;"Miete";2;60
"nein";12000;16,29;"D";28;"Miete";9;88,365
"nein";12000;13,49;"C";28;"Miete";4;72
"nein";12000;10,65;"B";28;"Miete";0;62
"nein";7000;10,65;"B";27;"Grundschuld";3;43,68
"nein";10500;12,69;"B";31;"Miete";11;66
"nein";7000;11,71;"B";23;"Eigentum";4;39,12
"nein";3500;6,03;"A";27;"Grundschuld";11;83
"ja";6200;9,91;"B";36;"Miete";2;25
"nein";6000;8,9;"A";26;"Eigentum";8;28,8
"nein";7200;9,91;"B";25;"Miete";6;135
"nein";9500;8,9;"A";27;"Grundschuld";7;50
"nein";24000;10,65;"B";40;"Miete";15;45
"nein";6000;13,49;"C";29;"Miete";5;50
"nein";2100;12,42;"B";48;"Grundschuld";21;30
"nein";5500;6,62;"A";25;"Grundschuld";8;110
"nein";11000;6,62;"A";26;"Eigentum";8;45,608
"nein";8000;12,69;"B";35;"Grundschuld";5;35
"ja";10000;18,25;"D";24;"Miete";1;75
"nein";8000;11,71;"B";24;"Grundschuld";9;35
"nein";10000;8,9;"A";33;"Miete";6;24
"nein";12000;11,71;"B";28;"Grundschuld";2;126
"nein";10000;7,9;"A";37;"Miete";1;43
"ja";19750;10,65;"B";42;"Miete";4;45
"nein";10000;9,91;"B";25;"Miete";3;31,2
"nein";13650;12,42;"B";45;"Miete";4;66
"nein";2500;14,27;"C";22;"Miete";7;49,5
"nein";35000;8,9;"A";23;"Grundschuld";6;125
"nein";10000;7,51;"A";25;"Miete";3;33
"nein";7000;12,69;"B";23;"Miete";0;30
"ja";24000;15,96;"C";24;"Grundschuld";8;90
"nein";10625;7,51;"A";22;"Grundschuld";5;23
"nein";5000;14,65;"C";37;"Miete";2;24
"nein";8850;6,62;"A";24;"Miete";17;62
"nein";6000;11,71;"B";27;"Miete";1;90
"ja";11100;6,62;"A";38;"Miete";30;41
"nein";6200;6,03;"A";44;"Grundschuld";5;26,5
"nein";15000;18,64;"E";26;"Miete";1;54
"nein";4200;11,71;"B";35;"Miete";2;53
"nein";14000;14,27;"C";23;"Miete";4;52,8
"nein";8875;7,51;"A";26;"Grundschuld";1;38
"nein";13500;9,91;"B";21;"Miete";7;38
"ja";12000;9,91;"B";24;"Miete";2;42
"nein";6000;10,65;"B";24;"Grundschuld";6;87
"ja";10000;11,71;"B";46;"Miete";8;60
"nein";12000;16,29;"D";26;"Grundschuld";5;80
"nein";7200;12,42;"B";22;"Miete";5;48
"ja";5600;14,65;"C";24;"Grundschuld";1;85
"nein";8500;6,03;"A";23;"Miete";2;25
"nein";8000;9,91;"B";22;"Miete";2;34
"nein";8000;12,42;"B";25;"Miete";14;40
"nein";15000;17,27;"D";23;"Grundschuld";2;44,4
"nein";10000;9,91;"B";32;"Eigentum";2;30
"nein";10000;6,62;"A";23;"Grundschuld";5;70
"nein";8000;14,65;"C";25;"Miete";3;28
"nein";22000;9,91;"B";22;"Grundschuld";2;50
"nein";6000;14,27;"C";23;"Grundschuld";14;94,8
"nein";13500;9,91;"B";30;"Grundschuld";2;36
"nein";25000;12,42;"B";30;"Miete";2;225
"nein";2500;13,49;"C";26;"Miete";4;27,2
"nein";7325;12,69;"B";23;"Miete";1;42
"nein";4000;12,42;"B";28;"Miete";5;135
"ja";10000;13,49;"C";35;"Miete";5;65
"ja";7750;17,27;"D";24;"Miete";0;24
"nein";9600;12,42;"B";30;"Miete";11;65
"nein";14000;10,65;"B";21;"Miete";3;30
"nein";13350;12,42;"B";31;"Miete";19;43
"ja";15000;16,77;"D";27;"Miete";17;42
"nein";35000;10,65;"B";25;"Grundschuld";2;168
"ja";16000;12,69;"B";22;"Miete";1;58,5
"nein";13500;12,69;"B";26;"Miete";5;71
"nein";24000;12,69;"B";22;"Miete";13;75
"nein";12000;10,65;"B";26;"Miete";5;60
"nein";14000;6,62;"A";26;"Miete";31;66
"nein";25000;11,71;"B";23;"Grundschuld";12;100
"nein";9000;12,69;"B";25;"Miete";5;50
"nein";13250;10,65;"B";28;"Miete";4;35
"nein";20000;13,49;"C";28;"Miete";6;75
"nein";3000;14,65;"C";22;"Miete";5;71
"nein";7350;10,65;"B";21;"Grundschuld";16;48
"nein";11500;15,27;"C";30;"Miete";5;36
"ja";13650;12,42;"B";32;"Grundschuld";16;86
"ja";10500;16,29;"D";25;"Miete";3;30
"nein";12000;9,91;"B";28;"Miete";2;60
"nein";6000;8,9;"A";27;"Miete";3;34
"nein";11500;15,27;"C";27;"Grundschuld";25;44,2
"nein";7000;12,42;"B";26;"Grundschuld";7;82
"nein";2000;15,27;"C";27;"Miete";2;41
"nein";11625;13,49;"C";22;"Grundschuld";0;36
"nein";5300;15,27;"C";25;"Miete";1;30
"nein";8200;6,62;"A";26;"Miete";0;40
"nein";8650;14,27;"C";23;"Grundschuld";4;45
"nein";12000;12,42;"B";31;"Miete";2;83
"ja";9500;12,69;"B";22;"Grundschuld";0;52,5
"nein";14400;13,49;"C";28;"Grundschuld";19;60
"ja";7200;7,9;"A";23;"Miete";3;68
"nein";4000;7,51;"A";24;"Miete";0;65
"nein";1500;17,27;"D";24;"Grundschuld";11;144
"nein";19600;12,42;"B";22;"Miete";2;75
"nein";2500;11,71;"B";54;"Grundschuld";7;29
"ja";10000;12,69;"B";22;"Miete";2;70
"nein";10000;6,62;"A";21;"Miete";5;45
"nein";4225;12,42;"B";25;"Grundschuld";5;55,2
"nein";3500;7,9;"A";35;"Grundschuld";7;61,44
"nein";14000;12,42;"B";25;"Grundschuld";12;63
"nein";6000;13,49;"C";35;"Grundschuld";5;50
"nein";12000;9,91;"B";24;"Miete";5;80
"nein";10000;12,42;"B";29;"Miete";4;45
"nein";8000;7,9;"A";31;"Miete";2;78
"nein";14125;9,91;"B";25;"Miete";1;33
"nein";14000;12,69;"B";24;"Miete";5;62,8
"nein";4000;19,03;"E";25;"Grundschuld";19;80
"ja";4000;12,69;"B";22;"Miete";2;25
"nein";10500;6,03;"A";23;"Grundschuld";12;65
"nein";5500;7,9;"A";34;"Eigentum";23;59
"nein";7350;11,71;"B";24;"Miete";1;33
"ja";10000;12,42;"B";22;"Miete";10;39
"nein";12000;7,51;"A";32;"Miete";13;42
"nein";4500;8,9;"A";24;"Grundschuld";20;50,7
"nein";18000;12,42;"B";29;"Eigentum";1;75
"nein";12000;13,49;"C";24;"Miete";6;40
"nein";10000;13,49;"C";25;"Grundschuld";10;50
"nein";6000;7,9;"A";25;"Grundschuld";7;80
"nein";12000;12,69;"B";27;"Miete";4;40
"ja";12000;8,9;"A";30;"Miete";7;80
"nein";7000;11,71;"B";29;"Miete";2;75
"nein";1400;7,9;"A";29;"Miete";1;28,8
"nein";3200;9,91;"B";26;"Miete";9;61,2
"nein";8000;7,9;"A";22;"Miete";1;40
"nein";5000;6,03;"A";22;"Grundschuld";9;54
"nein";1800;6,62;"A";21;"Miete";16;18
"nein";35000;8,9;"A";37;"Miete";5;85
"nein";18000;8,9;"A";34;"Miete";5;78
"ja";14000;7,9;"A";23;"Eigentum";11;45,6
"nein";5000;12,42;"B";38;"Miete";2;70
"nein";8000;15,96;"C";25;"Miete";4;70
"nein";10000;7,51;"A";23;"Miete";5;50
"nein";12000;12,42;"B";23;"Grundschuld";10;35
"nein";23200;7,9;"A";31;"Grundschuld";3;65
"nein";4800;15,27;"C";25;"Grundschuld";29;75
"nein";7300;11,71;"B";29;"Miete";6;35
"nein";10400;9,91;"B";25;"Miete";6;40
"nein";6600;9,91;"B";24;"Grundschuld";1;100
"nein";12000;8,9;"A";21;"Eigentum";7;40
"nein";13250;17,27;"D";29;"Miete";11;52
"nein";12000;11,71;"B";26;"Miete";3;92,5
"nein";25000;9,91;"B";28;"Miete";9;61
"nein";12000;7,51;"A";23;"Grundschuld";18;68
"nein";14400;11,71;"B";22;"Miete";1;80
"nein";10000;12,42;"B";27;"Miete";15;43
"nein";8000;11,71;"B";28;"Miete";1;150
"ja";8000;16,29;"D";21;"Miete";5;50
"nein";13250;11,71;"B";37;"Eigentum";2;35
"nein";14000;14,27;"C";34;"Miete";6;80
"nein";10000;16,29;"D";38;"Miete";15;40
"nein";4000;6,03;"A";45;"Miete";1;55
"nein";13000;9,91;"B";40;"Miete";6;110
"nein";28000;12,69;"B";25;"Miete";5;100
"nein";10000;13,49;"C";23;"Miete";3;62
"nein";20000;7,9;"A";22;"Miete";0;45
"nein";18000;9,91;"B";27;"Miete";5;110
"nein";10000;11,71;"B";26;"Miete";3;33
"nein";4200;6,03;"A";23;"Miete";3;61
"nein";24000;16,29;"D";21;"Miete";2;50,964
"nein";4475;15,27;"C";28;"Miete";3;43,68
"nein";12000;12,42;"B";29;"Miete";5;50,7
"ja";5000;12,42;"B";26;"Miete";2;30
"nein";3000;6,03;"A";25;"Miete";5;50
"ja";12000;9,91;"B";45;"Miete";17;55
"nein";20000;15,27;"C";25;"Grundschuld";13;50
"nein";15000;12,42;"B";32;"Eigentum";6;155
"nein";12000;7,9;"A";26;"Grundschuld";0;62
"nein";6300;11,71;"B";21;"Miete";2;30
"ja";10000;11,71;"B";42;"Miete";5;32
"ja";24000;8,9;"A";32;"Grundschuld";17;116,4
"nein";14400;12,69;"B";22;"Grundschuld";9;40
"nein";6000;14,65;"C";32;"Miete";7;34
"nein";22000;15,96;"C";22;"Grundschuld";5;73
"nein";16000;16,77;"D";33;"Grundschuld";0;114
"nein";10000;10,65;"B";29;"Grundschuld";14;90
"ja";10000;12,69;"B";27;"Miete";2;35
"nein";9600;9,91;"B";25;"Miete";5;35
"nein";9875;7,9;"A";22;"Grundschuld";15;40
"nein";4800;7,9;"A";23;"Miete";6;48
"nein";7800;6,03;"A";30;"Eigentum";12;85
"nein";20000;14,27;"C";26;"Grundschuld";11;70
"ja";9750;7,51;"A";27;"Miete";4;35
"nein";5000;6,03;"A";25;"Grundschuld";9;30
"nein";9000;14,65;"C";28;"Miete";4;45
"nein";7200;7,9;"A";25;"Miete";1;55
"nein";25000;15,27;"C";24;"Eigentum";8;82
"nein";10000;15,96;"C";33;"Miete";13;53
"ja";8875;12,69;"B";25;"Grundschuld";5;35,36
"nein";15550;11,71;"B";23;"Miete";13;54
"nein";7500;12,69;"B";29;"Miete";5;65
"nein";8875;8,9;"A";22;"Eigentum";6;28,8
"nein";4500;17,27;"D";21;"Miete";1;42
"nein";5800;12,42;"B";27;"Miete";3;36
"nein";10000;11,71;"B";21;"Miete";2;40
"nein";10000;9,91;"B";35;"Miete";4;50
"nein";14000;11,71;"B";39;"Miete";1;52
"nein";24000;7,9;"A";23;"Eigentum";6;75
"nein";14000;14,27;"C";23;"Miete";0;80
"nein";12000;8,9;"A";38;"Grundschuld";7;40,246
"ja";8050;12,69;"B";22;"Miete";1;36
"nein";5600;10,65;"B";22;"Miete";6;60
"nein";7500;9,91;"B";22;"Miete";3;31,2
"nein";7000;11,71;"B";35;"Miete";15;90
"nein";5400;7,9;"A";29;"Miete";4;40
"nein";16000;12,42;"B";27;"Miete";1;90
"nein";9800;16,29;"D";39;"Miete";4;67
"nein";5000;6,62;"A";28;"Miete";1;276
"nein";9900;11,71;"B";22;"Miete";6;26,4
"nein";15000;11,71;"B";31;"Grundschuld";3;68,4
"nein";6250;15,96;"C";25;"Miete";1;29,12
"nein";6400;16,29;"D";25;"Miete";0;29,12
"nein";12000;15,27;"C";32;"Grundschuld";4;54
"nein";6500;14,27;"C";25;"Grundschuld";4;30
"nein";8000;15,96;"C";24;"Miete";16;50
"nein";15000;14,65;"C";27;"Grundschuld";11;100,5
"nein";9000;12,42;"B";28;"Grundschuld";5;47
"nein";6500;16,29;"D";25;"Grundschuld";3;68
"nein";2000;7,9;"A";27;"Miete";4;39,6
"nein";8000;13,49;"C";22;"Eigentum";3;30
"nein";8875;7,51;"A";25;"Miete";1;30
"ja";1500;18,64;"E";21;"Miete";0;17
"nein";8000;12,42;"B";31;"Miete";3;42
"nein";6500;11,71;"B";20;"Miete";4;42
"nein";9600;13,49;"C";21;"Grundschuld";3;27
"nein";10000;7,9;"A";40;"Grundschuld";5;46
"nein";15000;12,42;"B";23;"Grundschuld";17;80
"nein";9000;6,62;"A";25;"Grundschuld";3;45
"nein";10000;7,9;"A";36;"Miete";2;72,5
"nein";14000;7,9;"A";24;"Miete";2;30
"ja";8500;14,27;"C";25;"Miete";9;50
"nein";4500;15,96;"C";28;"Grundschuld";5;65
"nein";3000;7,51;"A";27;"Grundschuld";18;65
"nein";10000;9,91;"B";25;"Grundschuld";4;120
"nein";7200;15,27;"C";25;"Miete";4;54,99
"nein";23000;7,9;"A";50;"Grundschuld";2;137
"nein";7000;8,9;"A";34;"Miete";1;46
"nein";21000;12,69;"B";24;"Grundschuld";8;135
"nein";18000;6,62;"A";29;"Grundschuld";2;78
"nein";7200;6,03;"A";31;"Grundschuld";5;60
"nein";16500;8,9;"A";22;"Miete";11;48
"nein";8125;7,9;"A";21;"Miete";0;25
"nein";18800;7,51;"A";35;"Grundschuld";3;82
"nein";19200;7,9;"A";24;"Grundschuld";5;42
"nein";4000;12,42;"B";23;"Grundschuld";5;38
"nein";4000;16,29;"D";25;"Miete";4;35
"nein";12000;9,91;"B";22;"Eigentum";13;33
"nein";2625;11,71;"B";23;"Grundschuld";11;52,8
"nein";7000;9,91;"B";39;"Miete";17;73,882
"nein";11300;12,69;"B";23;"Grundschuld";7;36
"nein";8000;6,03;"A";21;"Grundschuld";24;57,2
"nein";4375;12,42;"B";28;"Eigentum";2;15
"nein";4100;7,51;"A";32;"Grundschuld";9;70,197
"nein";6000;8,9;"A";24;"Miete";7;47
"ja";3000;10,65;"B";25;"Grundschuld";13;86,004
"nein";5400;12,69;"B";23;"Grundschuld";12;75
"ja";15000;16,29;"D";60;"Miete";1;110
"nein";10400;12,69;"B";24;"Miete";4;44
"nein";11500;12,42;"B";27;"Miete";0;38,5
"nein";10000;6,62;"A";24;"Miete";4;75
"nein";3600;8,9;"A";25;"Miete";11;55
"ja";10000;17,27;"D";32;"Miete";8;68
"nein";15000;18,25;"D";24;"Grundschuld";17;66
"nein";8000;11,71;"B";28;"Miete";8;85
"ja";16000;7,9;"A";51;"Miete";1;51
"nein";8000;10,65;"B";23;"Miete";2;55
"nein";7200;7,51;"A";41;"Grundschuld";19;47
"nein";12000;7,51;"A";27;"Miete";4;86
"ja";2200;15,27;"C";24;"Eigentum";11;48
"nein";6000;7,51;"A";24;"Grundschuld";2;50
"nein";14050;8,9;"A";33;"Grundschuld";3;120
"nein";6000;13,49;"C";38;"Eigentum";17;62,691
"nein";10525;7,9;"A";29;"Miete";4;49,668
"nein";7200;15,96;"C";31;"Miete";2;30
"nein";12000;13,49;"C";26;"Grundschuld";14;40
"nein";3000;11,71;"B";33;"Miete";2;56,312
"nein";9500;16,29;"D";26;"Miete";10;54,011
"nein";19775;12,42;"B";30;"Miete";2;49,11032
"nein";30000;12,42;"B";29;"Miete";2;80
"nein";14500;14,65;"C";33;"Miete";8;90
"nein";4150;10,65;"B";23;"Miete";4;100
"nein";24000;16,77;"D";53;"Miete";6;70
"ja";21250;12,42;"B";22;"Miete";5;37
"nein";10000;14,27;"C";30;"Eigentum";34;75
"nein";4000;15,96;"C";30;"Miete";6;39
"nein";15000;11,71;"B";22;"Miete";0;60
"nein";3600;15,96;"C";23;"Miete";3;40
"ja";15000;15,27;"C";23;"Miete";11;60
"nein";12375;7,51;"A";26;"Miete";6;42
"ja";4000;12,69;"B";27;"Miete";6;30
"nein";13000;10,65;"B";22;"Grundschuld";16;50
"nein";5000;6,62;"A";22;"Grundschuld";1;39,396
"nein";5000;15,96;"C";31;"Eigentum";7;98
"nein";26000;11,71;"B";23;"Miete";16;62,5
"nein";8000;7,9;"A";22;"Miete";21;32,4
"nein";16000;9,91;"B";35;"Miete";11;50
"ja";12000;14,65;"C";22;"Miete";6;54,4
"ja";13000;16,29;"D";26;"Miete";14;28
"nein";18000;13,49;"C";30;"Grundschuld";8;96
"nein";10000;16,29;"D";22;"Miete";3;83,2
"ja";11200;12,42;"B";30;"Miete";3;75
"nein";7000;10,65;"B";23;"Miete";3;52
"nein";8000;6,03;"A";41;"Miete";6;57,6
"nein";12000;17,27;"D";23;"Miete";2;95
"nein";22000;14,65;"C";25;"Miete";0;58
"nein";6200;10,65;"B";36;"Grundschuld";18;24
"nein";5000;11,71;"B";24;"Miete";4;35
"nein";3150;15,27;"C";36;"Miete";5;53
"ja";12000;14,27;"C";23;"Miete";2;28
"ja";28000;7,9;"A";24;"Grundschuld";4;118
"nein";5000;12,42;"B";23;"Miete";0;40
"ja";3000;7,9;"A";27;"Grundschuld";11;65
"nein";8400;6,62;"A";22;"Miete";2;25
"nein";7000;10,65;"B";30;"Grundschuld";14;36
"nein";2000;9,91;"B";27;"Grundschuld";1;231,252
"nein";10000;7,9;"A";27;"Miete";6;66
"nein";25000;19,42;"E";29;"Grundschuld";2;92
"nein";8000;11,71;"B";24;"Miete";13;70
"nein";25000;11,71;"B";23;"Grundschuld";8;76,896
"nein";16800;14,65;"C";22;"Miete";2;60
"nein";8000;8,9;"A";32;"Grundschuld";3;120
"ja";11000;7,9;"A";26;"Grundschuld";4;80
"ja";5000;16,29;"D";33;"Grundschuld";6;85
"nein";18000;16,29;"D";28;"Eigentum";12;140
"ja";10000;12,69;"B";30;"Eigentum";6;36
"nein";5000;9,91;"B";34;"Miete";0;70
"nein";25000;9,91;"B";29;"Miete";4;163
"nein";2400;12,69;"B";24;"Grundschuld";4;59,393
"ja";3000;16,29;"D";25;"Grundschuld";4;65
"ja";7700;16,77;"D";23;"Miete";3;29,77296
"nein";2400;13,49;"C";23;"Eigentum";0;12,996
"nein";5000;10,65;"B";24;"Eigentum";1;44,475
"nein";14000;17,58;"D";31;"Grundschuld";11;88
"nein";2400;10,65;"B";30;"Grundschuld";3;36
"nein";1800;12,42;"B";27;"Miete";7;117
"ja";22200;19,42;"E";30;"Miete";2;160
"ja";13000;7,9;"A";25;"Miete";10;28
"ja";3600;12,69;"B";26;"Grundschuld";12;60
"nein";9400;9,91;"B";26;"Miete";2;45,5
"nein";9600;14,27;"C";26;"Grundschuld";6;156
"nein";17000;10,65;"B";22;"Miete";1;40
"nein";10800;14,27;"C";42;"Grundschuld";6;110
"nein";6000;7,9;"A";24;"Miete";16;59,4
"nein";5000;12,69;"B";26;"Miete";2;25
"ja";7100;14,65;"C";25;"Miete";1;33
"nein";12000;16,77;"D";25;"Grundschuld";13;93
"nein";5825;10,65;"B";23;"Miete";8;50
"ja";22250;12,69;"B";23;"Miete";2;41
"nein";6000;12,42;"B";22;"Miete";4;30
"ja";7650;11,71;"B";23;"Miete";5;57
"nein";13200;7,9;"A";21;"Grundschuld";6;62,5
"nein";12000;7,51;"A";21;"Miete";0;60
"nein";15000;6,03;"A";26;"Miete";7;60
"nein";12800;12,42;"B";25;"Grundschuld";1;99,6
"nein";7000;12,69;"B";31;"Miete";8;49
"nein";10000;14,27;"C";23;"Miete";4;44,16
"nein";14125;7,9;"A";23;"Miete";5;32
"nein";12000;6,62;"A";35;"Grundschuld";0;94,5
"nein";9575;6,62;"A";27;"Miete";3;19,498
"ja";12000;15,96;"C";31;"Grundschuld";9;88
"nein";10000;12,69;"B";25;"Miete";4;45
"nein";10000;15,96;"C";25;"Miete";1;37,5
"nein";24000;9,91;"B";22;"Miete";4;120
"nein";14575;10,65;"B";26;"Miete";7;35
"ja";10000;13,49;"C";46;"Miete";15;30
"nein";7125;17,58;"D";23;"Miete";7;25,27967
"nein";13000;13,49;"C";24;"Miete";6;65
"ja";21600;17,27;"D";27;"Grundschuld";2;58,6
"nein";7000;12,42;"B";26;"Miete";15;85
"nein";7000;8,9;"A";26;"Miete";5;45
"nein";3600;17,27;"D";22;"Grundschuld";7;44,004
"nein";3500;12,69;"B";36;"Grundschuld";11;84,996
"nein";5000;8,9;"A";29;"Miete";6;33
"nein";10000;11,71;"B";23;"Grundschuld";5;60
"nein";4500;13,49;"C";36;"Eigentum";0;19,2
"nein";12000;11,71;"B";30;"Miete";14;62
"nein";10700;12,42;"B";26;"Miete";4;68
"nein";6000;10,65;"B";22;"Miete";1;30
"nein";20000;7,9;"A";54;"Miete";14;50
"nein";3600;13,49;"C";24;"Miete";1;40
"nein";10375;14,27;"C";27;"Miete";5;35
"nein";25000;8,9;"A";31;"Miete";4;60
"nein";6000;12,42;"B";23;"Miete";4;92
"nein";8000;7,9;"A";23;"Miete";2;75
"nein";10000;11,71;"B";23;"Grundschuld";4;45
"nein";11000;7,51;"A";25;"Miete";8;48
"nein";5000;9,91;"B";29;"Grundschuld";6;110
"nein";6500;10,65;"B";41;"Miete";0;30,6
"nein";12000;12,69;"B";23;"Miete";4;45
"nein";8400;16,77;"D";21;"Miete";2;32
"nein";7000;12,69;"B";23;"Miete";5;37,5
"ja";12000;12,42;"B";23;"Miete";0;60
"ja";7200;11,71;"B";29;"Miete";2;33
"nein";12000;10,65;"B";24;"Miete";12;70
"nein";3050;9,91;"B";22;"Miete";1;16,8
"nein";9000;14,65;"C";35;"Miete";1;38
"nein";10000;9,91;"B";23;"Grundschuld";0;95
"ja";10000;14,27;"C";29;"Grundschuld";14;77,4
"nein";8500;16,29;"D";29;"Miete";0;61
"nein";27000;9,91;"B";29;"Eigentum";5;140
"nein";4000;14,27;"C";26;"Miete";9;32,4
"nein";7300;11,71;"B";21;"Miete";4;50
"nein";18000;8,9;"A";31;"Grundschuld";9;70
"nein";5000;11,71;"B";23;"Eigentum";22;35
"nein";10000;14,27;"C";23;"Grundschuld";57;115
"nein";3000;7,9;"A";25;"Miete";4;45
"nein";28000;15,96;"C";27;"Grundschuld";5;235
"nein";12000;7,9;"A";24;"Miete";5;26
"nein";10000;17,27;"D";29;"Miete";3;80
"nein";10000;15,27;"C";22;"Miete";27;55
"nein";5000;6,62;"A";27;"Grundschuld";5;55
"nein";5000;6,03;"A";21;"Miete";3;64,424
"nein";5000;8,9;"A";34;"Miete";16;56
"ja";6000;14,27;"C";22;"Miete";7;30
"nein";5000;14,27;"C";29;"Grundschuld";4;111,74
"nein";20050;17,58;"D";27;"Miete";7;67,5
"ja";7000;16,77;"D";37;"Miete";0;41
"nein";25000;10,65;"B";24;"Miete";33;120
"ja";3000;12,69;"B";23;"Miete";10;30
"nein";8400;17,27;"D";26;"Miete";16;41,5
"nein";5000;9,91;"B";26;"Grundschuld";12;75
"ja";13200;11,71;"B";32;"Grundschuld";2;41,6
"nein";6000;6,03;"A";31;"Miete";1;48
"nein";10000;6,62;"A";30;"Grundschuld";8;50
"nein";6500;10,65;"B";22;"Miete";2;53
"nein";12000;9,91;"B";27;"Miete";2;85
"nein";10000;14,27;"C";27;"Miete";21;55
"nein";12375;14,27;"C";36;"Miete";20;36
"nein";10000;10,65;"B";22;"Miete";1;26
"nein";4400;19,03;"E";24;"Miete";7;80
"nein";25000;13,49;"C";25;"Grundschuld";4;80
"ja";18000;13,49;"C";26;"Eigentum";0;66
"nein";35000;16,77;"D";23;"Grundschuld";7;100
"nein";35000;14,27;"C";37;"Grundschuld";1;123
"nein";7200;13,49;"C";26;"Grundschuld";9;60
"nein";4000;12,69;"B";27;"Miete";3;80
"nein";7000;7,51;"A";25;"Miete";29;31
"nein";15000;13,49;"C";41;"Grundschuld";4;90
"nein";7200;7,9;"A";22;"Miete";5;34
"nein";13000;17,27;"D";24;"Miete";25;36
"nein";28000;7,9;"A";27;"Miete";4;65
"nein";12000;9,91;"B";27;"Miete";8;35
"nein";14000;8,9;"A";41;"Miete";5;62,004
"nein";11500;11,71;"B";29;"Miete";19;74
"nein";10500;14,65;"C";22;"Grundschuld";1;42
"nein";14400;12,42;"B";33;"Eigentum";5;48
"nein";16000;9,91;"B";21;"Miete";7;65
"nein";5375;9,91;"B";28;"Miete";2;15,36
"nein";12000;13,49;"C";22;"Grundschuld";11;61
"ja";12000;7,51;"A";23;"Miete";0;83
"nein";17000;6,03;"A";27;"Grundschuld";2;120
"ja";13000;20,3;"E";31;"Miete";5;42
"ja";7125;7,51;"A";21;"Grundschuld";0;30
"nein";8000;14,65;"C";31;"Miete";1;72,1
"nein";12500;11,71;"B";28;"Miete";3;58
"nein";10000;14,27;"C";22;"Miete";4;40
"nein";14000;10,65;"B";29;"Miete";3;48,88
"nein";19200;9,91;"B";28;"Grundschuld";9;40
"nein";9000;11,71;"B";35;"Grundschuld";7;110
"nein";20000;8,9;"A";29;"Miete";3;65
"nein";9000;13,49;"C";21;"Grundschuld";7;50
"ja";9600;7,51;"A";25;"Miete";10;55
"nein";1000;13,49;"C";24;"Miete";8;35,1
"ja";15000;15,27;"C";21;"Miete";6;38
"nein";14000;8,9;"A";36;"Grundschuld";7;108
"nein";10000;10,65;"B";22;"Miete";4;45
"nein";7200;12,69;"B";24;"Miete";1;23
"nein";11000;9,91;"B";23;"Miete";4;32
"nein";9600;8,9;"A";22;"Miete";3;55
