"";"Name";"ISIN Code";"Sektor";"Jahr";"Index";"fkq";"lfk";"kfk";"uw";"lngroesse";"sach";"ebit";"ndts";"steuer";"beta";"BIP";"ZS";"INFL";"MP"
"337";"FIELMANN (XET)";NA;"Specialty Retailers";2011;"MDAX";0,0069;0,006;8e-04;0,0601;13,87;0,2858;0,2437;0,0482;0,2765;0,49;3,72;1,22;2,1;-0,1511
"338";"FIELMANN (XET)";NA;"Specialty Retailers";2012;"MDAX";0,001;8e-04;2e-04;0,0509;13,92;0,27;0,2465;0,047;0,2787;0,56;0,69;0,93;2;0,2566
"339";"FIELMANN (XET)";NA;"Specialty Retailers";2013;"MDAX";7e-04;6e-04;2e-04;0,0452;13,96;0,2668;0,2536;0,0442;0,2847;0,2;0,59;1,35;1,5;0,2331
"340";"FIELMANN (XET)";NA;"Specialty Retailers";2014;"MDAX";6e-04;4e-04;1e-04;0,06;14,02;0,2535;0,2749;0,0458;0,2775;0,54;1,6;0,95;0,9;0,0516
"341";"FIELMANN (XET)";NA;"Specialty Retailers";2015;"MDAX";4e-04;3e-04;1e-04;0,0599;14,08;0,2531;0,2736;0,044;0,2881;0,44;1,48;0,52;0,3;0,0986
"342";"FRAPORT (XET)";"DE0005773303";"Transport Services";2005;"MDAX";0,1939;0,1583;0,0356;0,0459;14,55;0,6675;0,0828;0,0548;0,3806;0,37;0,88;1,17;1,6;0,253
"343";"FRAPORT (XET)";NA;"Transport Services";2006;"MDAX";0,1973;0,168;0,0293;0,0259;14,58;0,6536;0,09;0,0531;0,289;1,15;3,87;0,68;1,5;0,1916
"344";"FRAPORT (XET)";NA;"Transport Services";2007;"MDAX";0,2712;0,1982;0,073;0,0863;14,66;0,7266;0,0659;0,0391;0,2236;0,44;3,38;-0,06;2,3;0,2236
"345";"FRAPORT (XET)";NA;"Transport Services";2008;"MDAX";0,3979;0,3115;0,0864;-0,0976;14,56;0,6937;0,0648;0,0328;0,2221;0,8;0,82;-0,65;2,6;-0,4072
"346";"FRAPORT (XET)";NA;"Transport Services";2009;"MDAX";0,4937;0,4798;0,0138;-0,0614;14,49;0,6265;0,0377;0,0282;0,1354;1,09;-5,57;1,99;0,3;0,1979
"347";"FRAPORT (XET)";NA;"Transport Services";2010;"MDAX";0,49;0,4724;0,0176;0,1125;14,6;0,5493;0,0505;0,0306;0,0156;1;3,95;1,93;1,1;0,1606
"348";"FRAPORT (XET)";NA;"Transport Services";2011;"MDAX";0,4721;0,4472;0,0249;0,0805;14,68;0,615;0,0587;0,0319;0,179;0,72;3,72;1,22;2,1;-0,1511
"349";"FRAPORT (XET)";NA;"Transport Services";2012;"MDAX";0,4793;0,4588;0,0205;0,0299;14,71;0,618;0,0618;0,0368;0,1932;0,81;0,69;0,93;2;0,2566
"350";"FRAPORT (XET)";NA;"Transport Services";2013;"MDAX";0,4707;0,4374;0,0332;0,0489;14,76;0,6317;0,0587;0,0371;0,1887;0,58;0,59;1,35;1,5;0,2331
"351";"FRAPORT (XET)";NA;"Transport Services";2014;"MDAX";0,4668;0,4313;0,0354;-0,0651;14,69;0,6822;0,0614;0,0342;0,2229;0,79;1,6;0,95;0,9;0,0516
"352";"FRAPORT (XET)";NA;"Transport Services";2015;"MDAX";0,4331;0,3714;0,0617;0,0853;14,77;0,6859;0,0669;0,0369;0,2319;0,54;1,48;0,52;0,3;0,0986
"353";"FREENET (XET)";"DE000A0Z2ZZ5";"Mobile Telecom.";2005;NA;9e-04;8e-04;1e-04;0,0809;14,53;0,0602;0,1081;0,0523;0,2186;1,55;0,88;1,17;1,6;0,253
"354";"FREENET (XET)";NA;"Mobile Telecom.";2006;NA;7e-04;6e-04;1e-04;0,002;14,54;0,0546;0,1056;0,0389;0;0,98;3,87;0,68;1,5;0,1916
"355";"FREENET (XET)";NA;"Mobile Telecom.";2007;"TecDAX";0,1069;7e-04;0,1062;-0,0932;14,44;0,0715;0,201;0,1046;0,8611;1,4;3,38;-0,06;2,3;0,2236
"356";"FREENET (XET)";NA;"Mobile Telecom.";2008;"TecDAX";0,4644;0,4151;0,0493;0,5423;14,87;0,0316;0,0193;0,0421;0;1,06;0,82;-0,65;2,6;-0,4072
"357";"FREENET (XET)";NA;"Mobile Telecom.";2009;"TecDAX";0,4225;0,2389;0,1836;0,2703;15,11;0,0173;0,0429;0,0663;0,1474;1,03;-5,57;1,99;0,3;0,1979
"358";"FREENET (XET)";NA;"Mobile Telecom.";2010;"TecDAX";0,3249;0,2374;0,0875;-0,0852;15,02;0,0153;0,0622;0,076;0;0,85;3,95;1,93;1,1;0,1606
"359";"FREENET (XET)";NA;"Mobile Telecom.";2011;"TecDAX";0,2983;0,2147;0,0835;-0,0364;14,98;0,0122;0,0661;0,0697;0;0,46;3,72;1,22;2,1;-0,1511
"360";"FREENET (XET)";NA;"Mobile Telecom.";2012;"TecDAX";0,2849;0,2413;0,0436;-0,04;14,94;0,0123;0,0883;0,0641;0;0,23;0,69;0,93;2;0,2566
"361";"FREENET (XET)";NA;"Mobile Telecom.";2013;"TecDAX";0,2349;0,226;0,0089;0,0338;14,98;0,0147;0,1315;0,0245;0,0648;0,62;0,59;1,35;1,5;0,2331
"362";"FREENET (XET)";NA;"Mobile Telecom.";2014;"TecDAX";0,2343;0,2255;0,0088;-0,0478;14,93;0,0149;0,1306;0,028;0,0415;0,98;1,6;0,95;0,9;0,0516
"363";"FREENET (XET)";NA;"Mobile Telecom.";2015;"TecDAX";0,2509;0,0858;0,1651;0,0254;14,95;0,0128;0,1164;0,028;0,1121;0,72;1,48;0,52;0,3;0,0986
"364";"FRESENIUS MED.CARE (XET)";"DE0005785802";"Healthcare Providers";2005;"DAX";0,2757;0,2384;0,0373;0,0973;15,51;0,153;0,115;0,0302;0,3226;0,46;0,88;1,17;1,6;0,253
"365";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2006;"DAX";0,4298;0,3916;0,0382;0,2373;15,73;0,1327;0,1069;0,0249;0,3124;0,43;3,87;0,68;1,5;0,1916
"366";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2007;"DAX";0,4005;0,3314;0,0692;0,0411;15,77;0,1458;0,1208;0,0272;0,2895;0,45;3,38;-0,06;2,3;0,2236
"367";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2008;"DAX";0,387;0,3101;0,0769;0,025;15,79;0,1508;0,1085;0,0266;0,2882;0,51;0,82;-0,65;2,6;-0,4072
"368";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2009;"DAX";0,3534;0,3227;0,0307;0,1166;15,9;0,1536;0,1158;0,0298;0,276;0,17;-5,57;1,99;0,3;0,1979
"369";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2010;"DAX";0,3458;0,2535;0,0923;0,1324;16,03;0,1487;0,1163;0,03;0,2967;0,27;3,95;1,93;1,1;0,1606
"370";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2011;"DAX";0,3709;0,2826;0,0883;0,0026;16,03;0,1352;0,1017;0,0266;0,2816;0,49;3,72;1,22;2,1;-0,1511
"371";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2012;"DAX";0,3739;0,3534;0,0206;0,1679;16,19;0,1325;0,1103;0,0278;0,2527;0,11;0,69;0,93;2;0,2566
"372";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2013;"DAX";0,3657;0,3366;0,0291;0,0274;16,21;0,1343;0,103;0,0291;0,2579;0,29;0,59;1,35;1,5;0,2331
"373";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2014;"DAX";0,3767;0,3588;0,0178;0,0915;16,3;0,13;0,0846;0,0253;0,2495;0,31;1,6;0,95;0,9;0,0516
"374";"FRESENIUS MED.CARE (XET)";NA;"Healthcare Providers";2015;"DAX";0,3447;0,3093;0,0354;0,2657;16,54;0,1349;0,0947;0,0278;0,2546;0,87;1,48;0,52;0,3;0,0986
"375";"FRESENIUS (XET)";"DE0005785604";"Healthcare Providers";2005;"MDAX";0,221;0,1285;0,0925;0,085;15,88;0,2084;0,0872;0,0284;0,2969;0,38;0,88;1,17;1,6;0,253
"376";"FRESENIUS (XET)";NA;"Healthcare Providers";2006;"MDAX";0,4016;0,3604;0,0412;0,366;16,19;0,1855;0,0981;0,0273;0,2876;0,78;3,87;0,68;1,5;0,1916
"377";"FRESENIUS (XET)";NA;"Healthcare Providers";2007;"MDAX";0,3818;0,3191;0,0627;0,0571;16,25;0,199;0,1121;0,0283;0,2802;0,9;3,38;-0,06;2,3;0,2236
"378";"FRESENIUS (XET)";NA;"Healthcare Providers";2008;"MDAX";0,4521;0,3902;0,0619;0,0845;16,33;0,1676;0,0908;0,0236;0,2499;0,62;0,82;-0,65;2,6;-0,4072
"379";"FRESENIUS (XET)";NA;"Healthcare Providers";2009;"DAX";0,4232;0,3945;0,0288;0,1467;16,47;0,1713;0,096;0,03;0,2115;0,33;-5,57;1,99;0,3;0,1979
"380";"FRESENIUS (XET)";NA;"Healthcare Providers";2010;"DAX";0,3969;0,3069;0,09;0,1276;16,59;0,1691;0,1015;0,0282;0,2418;0,74;3,95;1,93;1,1;0,1606
"381";"FRESENIUS (XET)";NA;"Healthcare Providers";2011;"DAX";0,3747;0,2946;0,0801;0,0344;16,62;0,1617;0,096;0,0263;0,2374;0,28;3,72;1,22;2,1;-0,1511
"382";"FRESENIUS (XET)";NA;"Healthcare Providers";2012;"DAX";0,3615;0,3208;0,0407;0,1807;16,79;0,1628;0,1031;0,0262;0,2125;0,26;0,69;0,93;2;0,2566
"383";"FRESENIUS (XET)";NA;"Healthcare Providers";2013;"DAX";0,4;0,2932;0,1068;0,0532;16,84;0,1572;0,0927;0,0279;0,2216;0,4;0,59;1,35;1,5;0,2331
"384";"FRESENIUS (XET)";NA;"Healthcare Providers";2014;"DAX";0,3978;0,3546;0,0432;0,1418;16,97;0,1727;0,0827;0,0243;0,2166;0,42;1,6;0,95;0,9;0,0516
"385";"FRESENIUS (XET)";NA;"Healthcare Providers";2015;"DAX";0,3525;0,3192;0,0334;0,1934;17,15;0,1743;0,0983;0,0264;0,2332;0,88;1,48;0,52;0,3;0,0986
"386";"FUCHS PETROLUB PF. (XET)";"DE0005790430";"Specialty Chemicals";2005;"SDAX";0,2326;0,0983;0,1343;0,0875;13,99;0,2385;0,1887;0,0324;0,3049;0,52;0,88;1,17;1,6;0,253
"387";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2006;"SDAX";0,1474;0,0829;0,0646;0,11;14,1;0,2261;0,2339;0,0295;0,3344;0,83;3,87;0,68;1,5;0,1916
"388";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2007;"SDAX";0,1023;0,0053;0,0971;0,0317;14,13;0,2124;0,2713;0,0268;0,3484;0,74;3,38;-0,06;2,3;0,2236
"389";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2008;"MDAX";0,181;0,0077;0,1733;0,0208;14,15;0,2459;0,2456;0,0274;0,3118;0,61;0,82;-0,65;2,6;-0,4072
"390";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2009;"MDAX";0,0803;0,063;0,0172;-0,1547;13,98;0,2489;0,2453;0,0277;0,2895;1,24;-5,57;1,99;0,3;0,1979
"391";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2010;"MDAX";0,0226;1e-04;0,0225;0,2381;14,19;0,2307;0,2848;0,0258;0,2971;1,09;3,95;1,93;1,1;0,1606
"392";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2011;"MDAX";0,0168;0;0,0168;0,1436;14,33;0,2242;0,273;0,0275;0,2935;0,76;3,72;1,22;2,1;-0,1511
"393";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2012;"MDAX";0,0082;0;0,0082;0,0905;14,41;0,2344;0,2716;0,0249;0,287;0,77;0,69;0,93;2;0,2566
"394";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2013;"MDAX";0,0069;0;0,0069;0,0069;14,42;0,2503;0,2754;0,0248;0,2942;0,74;0,59;1,35;1,5;0,2331
"395";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2014;"MDAX";0,0132;0;0,0132;0,0187;14,44;0,2512;0,2521;0,0281;0,2878;0,8;1,6;0,95;0,9;0,0516
"396";"FUCHS PETROLUB PF. (XET)";NA;"Specialty Chemicals";2015;"MDAX";0,0122;0;0,0122;0,1143;14,55;0,2505;0,2353;0,0266;0,2985;0,88;1,48;0,52;0,3;0,0986
"397";"GEA GROUP (XET)";"DE0006602006";"Industrial Machinery";2005;"MDAX";0,0315;0,0134;0,0181;0,1081;15,32;0,1103;0,044;0,0165;0,3544;0,92;0,88;1,17;1,6;0,253
"398";"GEA GROUP (XET)";NA;"Industrial Machinery";2006;"MDAX";0,0228;0,0039;0,0189;-0,0337;15,28;0,1019;0,0658;0,0144;0,2223;1,39;3,87;0,68;1,5;0,1916
"399";"GEA GROUP (XET)";NA;"Industrial Machinery";2007;"MDAX";0,0527;0,004;0,0487;0,1961;15,46;0,1096;0,0929;0,0171;0,2816;1,5;3,38;-0,06;2,3;0,2236
"400";"GEA GROUP (XET)";NA;"Industrial Machinery";2008;"MDAX";0,1107;0,048;0,0626;-0,0038;15,46;0,1123;0,1037;0,0178;0,2172;0,73;0,82;-0,65;2,6;-0,4072
"401";"GEA GROUP (XET)";NA;"Industrial Machinery";2009;"MDAX";0,0966;0,0481;0,0485;-0,1483;15,3;0,1281;0,0526;0,0204;0,1916;1,57;-5,57;1,99;0,3;0,1979
"402";"GEA GROUP (XET)";NA;"Industrial Machinery";2010;"MDAX";0,0987;0,0318;0,0669;0,0016;15,3;0,1238;0,0441;0,0209;0,1935;1,7;3,95;1,93;1,1;0,1606
"403";"GEA GROUP (XET)";NA;"Industrial Machinery";2011;"MDAX";0,1524;0,1369;0,0155;0,2259;15,5;0,1249;0,0736;0,0219;0,2004;1,24;3,72;1,22;2,1;-0,1511
"404";"GEA GROUP (XET)";NA;"Industrial Machinery";2012;"MDAX";0,1945;0,1654;0,0291;0,0561;15,56;0,1234;0,0788;0,0239;0,107;1,1;0,69;0,93;2;0,2566
"405";"GEA GROUP (XET)";NA;"Industrial Machinery";2013;"MDAX";0,1657;0,1561;0,0096;-0,2448;15,28;0,0807;0,0632;0,0218;0,1824;0,71;0,59;1,35;1,5;0,2331
"406";"GEA GROUP (XET)";NA;"Industrial Machinery";2014;"MDAX";0,1052;0,0831;0,0221;0,0453;15,32;0,093;0,0766;0,0187;0,2138;0,86;1,6;0,95;0,9;0,0516
"407";"GEA GROUP (XET)";NA;"Industrial Machinery";2015;"MDAX";0,0822;0,0303;0,0519;0,0185;15,34;0,0902;0,0513;0,019;0,0199;0,84;1,48;0,52;0,3;0,0986
"408";"GERRESHEIMER (XET)";"DE000A0LD6E6";"Medical Supplies";2005;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,88;1,17;1,6;0,253
"409";"GERRESHEIMER (XET)";NA;"Medical Supplies";2006;NA;0,6464;0,6033;0,0432;NA;13,7;0,3272;0,0095;0,0463;0;NA;3,87;0,68;1,5;0,1916
"410";"GERRESHEIMER (XET)";NA;"Medical Supplies";2007;"SDAX";0,3411;0,298;0,0431;0,0721;13,77;0,3055;0,0406;0,0705;0;NA;3,38;-0,06;2,3;0,2236
"411";"GERRESHEIMER (XET)";NA;"Medical Supplies";2008;"MDAX";0,3517;0,2697;0,082;0,1069;13,87;0,3225;0,0353;0,0736;0,2429;0,52;0,82;-0,65;2,6;-0,4072
"412";"GERRESHEIMER (XET)";NA;"Medical Supplies";2009;"MDAX";0,3337;0,2468;0,0869;-0,0565;13,82;0,3486;0,0334;0,0865;0,2964;0,43;-5,57;1,99;0,3;0,1979
"413";"GERRESHEIMER (XET)";NA;"Medical Supplies";2010;"MDAX";0,2797;0,2237;0,056;0,0246;13,84;0,3493;0,0575;0,0787;0,1811;0,69;3,95;1,93;1,1;0,1606
"414";"GERRESHEIMER (XET)";NA;"Medical Supplies";2011;"MDAX";0,3344;0,2928;0,0416;0,0682;13,91;0,3183;0,0621;0,0671;0,1938;0,39;3,72;1,22;2,1;-0,1511
"415";"GERRESHEIMER (XET)";NA;"Medical Supplies";2012;"MDAX";0,2841;0,267;0,0172;0,1136;14,01;0,3343;NA;0,0662;NA;0,4;0,69;0,93;2;0,2566
"416";"GERRESHEIMER (XET)";NA;"Medical Supplies";2013;"MDAX";0,296;0,2388;0,0572;0,0384;14,05;0,3347;NA;0,0638;NA;0,75;0,59;1,35;1,5;0,2331
"417";"GERRESHEIMER (XET)";NA;"Medical Supplies";2014;"MDAX";0,2908;0,2217;0,0691;0,019;14,07;0,3513;NA;0,0632;NA;1,01;1,6;0,95;0,9;0,0516
"418";"GERRESHEIMER (XET)";NA;"Medical Supplies";2015;"MDAX";0,3985;0,2995;0,099;0,0676;14,14;0,2507;0,0823;0,045;0,2337;0,56;1,48;0,52;0,3;0,0986
"419";"GFT TECHNOLOGIES (XET)";"DE0005800601";"Software";2005;NA;0,002;0,0018;1e-04;-0,0365;11,7;0,0341;0,0222;0,0174;0,3189;0,63;0,88;1,17;1,6;0,253
"420";"GFT TECHNOLOGIES (XET)";NA;"Software";2006;NA;0,0298;0,0017;0,028;0,436;12,06;0,0284;0,0786;0,0135;0,2295;1,07;3,87;0,68;1,5;0,1916
"421";"GFT TECHNOLOGIES (XET)";NA;"Software";2007;NA;0,0014;0;0,0014;0,4226;12,42;0,0247;0,1179;0,0134;0,3016;0,72;3,38;-0,06;2,3;0,2236
"422";"GFT TECHNOLOGIES (XET)";NA;"Software";2008;NA;0,0014;0;0,0014;-0,0195;12,4;0,0246;0,0652;0,0154;0,1299;0,81;0,82;-0,65;2,6;-0,4072
"423";"GFT TECHNOLOGIES (XET)";NA;"Software";2009;NA;0;0;0;-0,105;12,29;0,0204;0,073;0,0119;0,2128;0,34;-5,57;1,99;0,3;0,1979
"424";"GFT TECHNOLOGIES (XET)";NA;"Software";2010;NA;0;0;0;0,1451;12,42;0,0219;0,0936;0,0096;0,2855;0,44;3,95;1,93;1,1;0,1606
"425";"GFT TECHNOLOGIES (XET)";NA;"Software";2011;NA;0;0;0;0,0971;12,51;0,0209;0,0832;0,0101;0,2468;0,56;3,72;1,22;2,1;-0,1511
"426";"GFT TECHNOLOGIES (XET)";NA;"Software";2012;NA;0,0043;0;0,0043;-0,1531;12,35;0,025;0,0955;0,0122;0,3081;0,28;0,69;0,93;2;0,2566
"427";"GFT TECHNOLOGIES (XET)";NA;"Software";2013;NA;0,137;0,1334;0,0036;0,1456;12,48;0,0379;0,0893;0,014;0,215;0,41;0,59;1,35;1,5;0,2331
"428";"GFT TECHNOLOGIES (XET)";NA;"Software";2014;NA;0,2693;0,1147;0,1547;0,3823;12,81;0,0597;0,0956;0,022;0,2501;1,24;1,6;0,95;0,9;0,0516
"429";"GFT TECHNOLOGIES (XET)";NA;"Software";2015;"TecDAX";0,2587;0,2568;0,0019;0,0224;12,83;0,0821;0,1067;0,0322;0,1737;0,87;1,48;0,52;0,3;0,0986
"430";"HANNOVER RUCK. (XET)";"DE0008402215";"Reinsurance";2005;"MDAX";0,046;0,046;0;0,0165;16;0,0021;0,0042;4e-04;0;0,69;0,88;1,17;1,6;0,253
"431";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2006;"MDAX";0,0389;0,0389;0;-0,064;15,94;0,0017;0,0228;3e-04;0,2689;0,88;3,87;0,68;1,5;0,1916
"432";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2007;"MDAX";0,042;0,042;0;0,0382;15,98;0,002;0,03;4e-04;0,0469;1,18;3,38;-0,06;2,3;0,2236
"433";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2008;"MDAX";0,0404;0,0404;0;-0,0707;15,9;0,0019;0,0047;3e-04;0;0,73;0,82;-0,65;2,6;-0,4072
"434";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2009;"MDAX";0,0372;0,0372;0;0,3208;16,18;0,0021;0,0298;3e-04;0,2455;0,71;-5,57;1,99;0,3;0,1979
"435";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2010;"MDAX";0,0461;0,0461;0;0,0888;16,27;0,0017;0,0271;3e-04;0,2131;0,98;3,95;1,93;1,1;0,1606
"436";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2011;"MDAX";0,041;0,041;0;0,0645;16,33;0,0015;0,0188;3e-04;0,074;0,84;3,72;1,22;2,1;-0,1511
"437";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2012;"MDAX";0,0462;0,0462;NA;0,1314;16,45;0,0018;0,0285;2e-04;0,2484;0,52;0,69;0,93;2;0,2566
"438";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2013;"MDAX";0,0479;0,0479;0;-0,0255;16,43;0,002;0,0254;5e-04;0,1249;0,74;0,59;1,35;1,5;0,2331
"439";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2014;"MDAX";0,0392;0,039;3e-04;0,0178;16,44;0,0017;0,0264;5e-04;0,2004;0,62;1,6;0,95;0,9;0,0516
"440";"HANNOVER RUCK. (XET)";NA;"Reinsurance";2015;"MDAX";0,03;0,0294;7e-04;0,1693;16,6;0,0016;0,0307;5e-04;0,2485;0,78;1,48;0,52;0,3;0,0986
"441";"HEIDELBERGCEMENT (XET)";"DE0006047004";"Building Mat.& Fix.";2005;"MDAX";0,3323;0,2333;0,0991;0,126;15,87;0,4671;0,0872;0,0422;0,2927;0,27;0,88;1,17;1,6;0,253
"442";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2006;"MDAX";0,2807;0,1574;0,1234;0,1834;16,04;0,4547;0,1416;0,0422;0,2391;1,23;3,87;0,68;1,5;0,1916
"443";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2007;"MDAX";0,5341;0,4549;0,0792;0,1764;16,2;0,3583;0,0993;0,0197;0,1276;0,58;3,38;-0,06;2,3;0,2236
"444";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2008;"MDAX";0,4813;0,4149;0,0664;0,3061;16,47;0,3798;0,0693;0,0305;0,1807;0,66;0,82;-0,65;2,6;-0,4072
"445";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2009;"MDAX";0,3708;0,324;0,0468;-0,2164;16,22;0,4049;0,0281;0,0311;0;1,28;-5,57;1,99;0,3;0,1979
"446";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2010;"DAX";0,3369;0,3057;0,0312;0,058;16,28;0,4043;0,0472;0,0299;0,0469;1,62;3,95;1,93;1,1;0,1606
"447";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2011;"DAX";0,342;0,2712;0,0709;0,0969;16,37;0,3853;0,05;0,0296;0,1666;1,23;3,72;1,22;2,1;-0,1511
"448";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2012;"DAX";0,3063;0,2592;0,0472;0,0867;16,46;0,3912;0,0446;0,0313;0,1228;1,34;0,69;0,93;2;0,2566
"449";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2013;"DAX";0,3396;0,2528;0,0868;-0,006;16,45;0,3864;0,0627;0,0383;0,1407;1,01;0,59;1,35;1,5;0,2331
"450";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2014;"DAX";0,297;0,2145;0,0825;-0,0948;16,35;0,3459;0,0541;0,0252;0,0434;0,94;1,6;0,95;0,9;0,0516
"451";"HEIDELBERGCEMENT (XET)";NA;"Building Mat.& Fix.";2015;"DAX";0,2407;0,175;0,0656;0,0674;16,42;0,358;0,0647;0,0278;0,1652;0,87;1,48;0,52;0,3;0,0986
"452";"HENKEL PREF. (XET)";"DE0006048432";"Nondur.Household Prod";2005;"DAX";0,2821;0,1779;0,1042;0,1305;16,3;0,1516;0,0878;0,0243;0,2297;1,07;0,88;1,17;1,6;0,253
"453";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2006;"DAX";0,2568;0,1788;0,0779;0,064;16,36;0,1601;0,107;0,0258;0,2196;0,65;3,87;0,68;1,5;0,1916
"454";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2007;"DAX";0,2455;0,18;0,0655;0,0262;16,39;0,1623;0,1156;0,0262;0,2088;0,65;3,38;-0,06;2,3;0,2236
"455";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2008;"DAX";0,2813;0,1523;0,129;0,0808;16,46;0,1497;0,1226;0,0249;0,2038;0,73;0,82;-0,65;2,6;-0,4072
"456";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2009;"DAX";0,2697;0,2211;0,0486;-0,0395;16,42;0,1451;0,0676;0,0268;0,2455;0,69;-5,57;1,99;0,3;0,1979
"457";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2010;"DAX";0,2453;0,208;0,0373;0,1119;16,53;0,129;0,1007;0,0238;0,2367;0,71;3,95;1,93;1,1;0,1606
"458";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2011;"DAX";0,216;0,1933;0,0227;0,034;16,56;0,125;0,102;0,0211;0,2269;0,58;3,72;1,22;2,1;-0,1511
"459";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2012;"DAX";0,1993;0,1296;0,0697;0,058;16,62;0,1222;0,1155;0,021;0,2295;0,6;0,69;0,93;2;0,2566
"460";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2013;"DAX";0,1396;0,074;0,0656;-0,0094;16,61;0,1225;0,1209;0,0209;0,2414;0,79;0,59;1,35;1,5;0,2331
"461";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2014;"DAX";0,0867;0,0673;0,0194;0,0045;16,61;0,1223;0,1115;0,0193;0,2376;0,59;1,6;0,95;0,9;0,0516
"462";"HENKEL PREF. (XET)";NA;"Nondur.Household Prod";2015;"DAX";0,0411;2e-04;0,0409;0,1011;16,71;0,1237;0,1231;0,0209;0,2398;0,79;1,48;0,52;0,3;0,0986
"463";"HOCHTIEF (XET)";"DE0006070006";"Heavy Construction";2005;"MDAX";0,1368;0,1045;0,0323;0,1431;16,43;0,1118;0,0512;0,0361;0,4369;0,91;0,88;1,17;1,6;0,253
"464";"HOCHTIEF (XET)";NA;"Heavy Construction";2006;"MDAX";0,1278;0,0945;0,0333;0,1359;16,56;0,0977;0,0499;0,0395;0,335;1,91;3,87;0,68;1,5;0,1916
"465";"HOCHTIEF (XET)";NA;"Heavy Construction";2007;"MDAX";0,1875;0,1262;0,0613;0,0609;16,62;0,098;0,0579;0,0294;0,2642;1,57;3,38;-0,06;2,3;0,2236
"466";"HOCHTIEF (XET)";NA;"Heavy Construction";2008;"MDAX";0,2461;0,1411;0,105;0,1612;16,77;0,0942;0,0601;0,0326;0,2487;1,09;0,82;-0,65;2,6;-0,4072
"467";"HOCHTIEF (XET)";NA;"Heavy Construction";2009;"MDAX";0,2308;0,1662;0,0646;-0,049;16,72;0,1212;0,064;0,0406;0,2439;1,57;-5,57;1,99;0,3;0,1979
"468";"HOCHTIEF (XET)";NA;"Heavy Construction";2010;"MDAX";0,2189;0,175;0,0439;0,1097;16,82;0,1227;0,0681;0,046;0,2098;1,36;3,95;1,93;1,1;0,1606
"469";"HOCHTIEF (XET)";NA;"Heavy Construction";2011;"MDAX";0,2445;0,1483;0,0962;0,1549;16,96;0,144;0,0079;0,0504;0,3347;0,96;3,72;1,22;2,1;-0,1511
"470";"HOCHTIEF (XET)";NA;"Heavy Construction";2012;"MDAX";0,2668;0,1646;0,1022;0,0964;17,06;0,1137;0,0505;0,0549;0,1906;1,26;0,69;0,93;2;0,2566
